"Raditaji","Laika periods","Viriesi","Sievietes"
"Dzivi dzimuso skaits","2022M01",705,662
"Dzivi dzimuso skaits","2022M02",645,617
"Dzivi dzimuso skaits","2022M03",731,710
"Dzivi dzimuso skaits","2022M04",659,646
"Dzivi dzimuso skaits","2022M05",730,687
"Dzivi dzimuso skaits","2022M06",764,730
"Dzivi dzimuso skaits","2022M07",737,705
"Dzivi dzimuso skaits","2022M08",702,678
"Dzivi dzimuso skaits","2022M09",736,719
"Dzivi dzimuso skaits","2022M10",637,582
"Dzivi dzimuso skaits","2022M11",553,524
"Dzivi dzimuso skaits","2022M12",555,540
"Dzivi dzimuso skaits","2023M01",598,579
"Dzivi dzimuso skaits","2023M02",515,548
"Dzivi dzimuso skaits","2023M03",661,633
"Dzivi dzimuso skaits","2023M04",632,551
"Dzivi dzimuso skaits","2023M05",655,585
"Dzivi dzimuso skaits","2023M06",668,656
"Dzivi dzimuso skaits","2023M07",736,624
"Dzivi dzimuso skaits","2023M08",652,639
"Dzivi dzimuso skaits","2023M09",613,590
"Dzivi dzimuso skaits","2023M10",557,623
"Dzivi dzimuso skaits","2023M11",568,511
"Dzivi dzimuso skaits","2023M12",569,527
"Dzivi dzimuso skaits","2024M01",519,553
"Dzivi dzimuso skaits","2024M02",508,547
"Dzivi dzimuso skaits","2024M03",580,529
"Dzivi dzimuso skaits","2024M04",503,593
"Dzivi dzimuso skaits","2024M05",542,578
"Dzivi dzimuso skaits","2024M06",516,555
"Dzivi dzimuso skaits","2024M07",560,599
"Dzivi dzimuso skaits","2024M08",593,562
"Dzivi dzimuso skaits","2024M09",531,607
"Dzivi dzimuso skaits","2024M10",514,506
"Dzivi dzimuso skaits","2024M11",493,466
"Dzivi dzimuso skaits","2024M12",468,465
"Dzivi dzimuso skaits","2025M01",462,419
"Dzivi dzimuso skaits","2025M02",458,432
"Dzivi dzimuso skaits","2025M03",503,482
"Dzivi dzimuso skaits","2025M04",517,459
"Dzivi dzimuso skaits","2025M05",482,464
"Dzivi dzimuso skaits","2025M06",532,450
"Dzivi dzimuso skaits","2025M07",582,521
