_id,Vakances_Nr,Aktualizacijas_datums,Iestades_registracijas_numurs,Vakances_nosaukums,Vakances_kategorija,Alga_no,Alga_lidz,Slodzes_tips,Darba_laika_veids,Darba_stundas_nedela,Pieteiksanas_termins,Attels,Vieta,Vakances_paplasinats_apraksts
1,250903-174,2025-09-17T00:00:00,44103015509,OTRREIZĒJO IZEJVIELU ŠĶIROTĀJS,Lauksaimniecība / Vide,740.000,740.000,Viena vesela slodze,Normālais darba laiks,,2025-09-24T00:00:00,"","Stūri, Stalbes pag., Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425610394
2,250916-15,2025-09-16T00:00:00,44103015509,TRAKTORTEHNIKAS VADĪTĀJS,Lauksaimniecība / Vide,850.000,1450.000,Viena vesela slodze,"",,2025-09-24T00:00:00,"","Stūri, Stalbes pag., Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426841473
3,250904-197,2025-09-04T00:00:00,90000079665,PAŠVALDĪBAS POLICIJAS INSPEKTORS,Drošība / Glābšanas dienesti / Aizsardzība,7.560,7.560,Viena vesela slodze,Summētais darba laiks,,2025-10-31T00:00:00,"","Andreja iela 3, Ventspils",https://cvvp.nva.gov.lv/#/pub/vakances/425778654
4,250902-95,2025-09-02T00:00:00,40900000578,SĒTNIEKS,Izglītība / Zinātne,740.000,740.000,Viena vesela slodze,Normālais darba laiks,,2025-11-30T00:00:00,"","Riekstu iela 2, Lielvārde, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425365156
5,250916-196,2025-09-16T00:00:00,40900000578,MĀSA/ vispārējās aprūpes MĀSA bērnu aprūpē,Izglītība / Zinātne,965.000,965.000,Viena vesela slodze,Normālais darba laiks,,2025-12-15T00:00:00,"","Avotu iela 2, Lielvārde, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426921294
6,250721-15,2025-07-21T00:00:00,40900040335,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1570.000,1570.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-30T00:00:00,"","Veselības iela 7, Olaine, Olaines nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421160892
7,250721-12,2025-07-21T00:00:00,40900040335,SKOLOTĀJS LOGOPĒDS,Izglītība / Zinātne,1260.000,1260.000,Viena vesela slodze,Normālais darba laiks,30,2025-09-30T00:00:00,"","Veselības iela 7, Olaine, Olaines nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421158537
8,250721-14,2025-07-21T00:00:00,40900040335,Izglītības un skolu PSIHOLOGS,Izglītība / Zinātne,1260.000,1260.000,"","",30,2025-09-30T00:00:00,"","Veselības iela 7, Olaine, Olaines nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421159095
9,250801-7,2025-08-01T00:00:00,40900040335,PIRMSSKOLAS IZGLĪTĪBAS MŪZIKAS SKOLOTĀJS,Izglītība / Zinātne,1570.000,1570.000,"",Normālais darba laiks,40,2025-09-30T00:00:00,"","Veselības iela 7, Olaine, Olaines nov.",https://cvvp.nva.gov.lv/#/pub/vakances/422207966
10,250918-117,2025-09-18T00:00:00,90000067986,SKOLOTĀJA PALĪGS,Izglītība / Zinātne,900.000,900.000,Viena vesela slodze,Normālais darba laiks,40,2025-10-19T00:00:00,"","Mediķu iela 4, Langstiņi, Garkalnes pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/427212471
11,250918-115,2025-09-18T00:00:00,90000067986,SKOLOTĀJS LOGOPĒDS,Izglītība / Zinātne,1283.000,1283.000,Viena vesela slodze,"",30,2025-10-10T00:00:00,"","Institūta iela 34A, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/427211394
12,250919-71,2025-09-19T00:00:00,90000067986,SKOLAS DIREKTORS /PRIEKŠNIEKS,Izglītība / Zinātne,1850.000,1850.000,Viena vesela slodze,Normālais darba laiks,40,2025-10-03T00:00:00,"","Rīgas iela 6, Ropaži, Ropažu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/427292535
